Quận / huyện,Tên,Địa chỉ,Note,Review,MXH,lat,lon
Ba Đình,PicMe Photobooth Studio,"https://www.google.com/maps/place/PicMe+Photobooth+Studio/@21.0350825,105.8226708,17z/data=!4m16!1m9!3m8!1s0x3135ab005c3a2779:0xc165b01f21ed3e9!2sPicMe+Photobooth+Studio!8m2!3d21.0350825!4d105.8226708!9m1!1b1!16s%2Fg%2F11ynw1fg9f!3m5!1s0x3135ab005c3a2779:0xc165b01f21ed3e9!8m2!3d21.0350825!4d105.8226708!16s%2Fg%2F11ynw1fg9f!17m2!4m1!1e3!18m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,21.0350825,105.8226708
Ba Đình,Filmnoir Photobooth,"https://www.google.com/maps/place/Mothaiba+Neutral+-+Ba+%C4%90%C3%ACnh/@21.0466782,105.8413932,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab007d31d36f:0x3ed2eb2b934955c8!8m2!3d21.0466782!4d105.8413932!16s%2Fg%2F11x63r3xsp?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0466782,105.8413932
Ba Đình,VibeLens _ photo,"https://www.google.com/maps/place/Fotograma+Hanoi/@21.0457,105.8413999,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0009da79a9:0xae4d7abbff51e61a!8m2!3d21.0457!4d105.8413999!16s%2Fg%2F11xtc6v9tn?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0457,105.8413999
Ba Đình,Fotograma Hanoi,"https://www.google.com/maps/place/Kasier+Photobooth/@21.0416608,105.8423147,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0039654eed:0x88b6ae536188a098!8m2!3d21.0416608!4d105.8423147!16s%2Fg%2F11x2vynp3w?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0416608,105.8423147
Ba Đình,PicMe Photobooth Studio,"https://www.google.com/maps/place/Haru+Film+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@21.0400883,105.843685,17z/data=!3m1!4b1!4m6!3m5!1s0x3135aba7793e404f:0x42273ec8673f9d5a!8m2!3d21.0400883!4d105.843685!16s%2Fg%2F11vk_qfl0w?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0400883,105.843685
Ba Đình,PHOTOOBJET (Self Photo Studio),"https://www.google.com/maps/place/Photo+Story/@21.0399719,105.8449927,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0061231b1b:0xe55d7ef046e27619!8m2!3d21.0399719!4d105.8449927!16s%2Fg%2F11x748h826?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0399719,105.8449927
Ba Đình,Mothaiba Neutral - Ba Đình,"https://www.google.com/maps/place/PicMe+Photobooth+Studio/@21.0350501,105.8225385,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ad63efdca1eb:0x535dd5433cc77910!8m2!3d21.0350501!4d105.8225385!16s%2Fg%2F11x0brg61s?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0350501,105.8225385
Ba Đình,Fun Studio Núi Trúc,"https://www.google.com/maps/place/PHOTOOBJET+(Self+Photo+Studio)/@21.0319873,105.8125085,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab000811283b:0xb6ca3eb568afb93a!8m2!3d21.0319873!4d105.8125085!16s%2Fg%2F11vwxk7tfn?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0319873,105.8125085
Ba Đình,Haru Film Phan Đình Phùng,"https://www.google.com/maps/place/PHOTO+TIME+-+VINCOM+METROPOLIS/@21.0312395,105.8148143,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abcf405d56b9:0xd480bda90d7a2b21!8m2!3d21.0312395!4d105.8148143!16s%2Fg%2F11y53nx1vr?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0312395,105.8148143
Ba Đình,Life4cuts photobooth - 인생네컷,"https://www.google.com/maps/place/Fun+Studio+N%C3%BAi+Tr%C3%BAc/@21.030179,105.8227252,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abf1940d8f0b:0x655471423401fe0d!8m2!3d21.030179!4d105.8227252!16s%2Fg%2F11w290tpzz?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.030179,105.8227252
